"id","category","tt_no","employee_id","reason_details","status","created_by","created_at","approved_val","approved_by","approved_date","edited_by","edited_at","device_sl_no","delivered_val","delivered_by","delivered_date","dev_assigned_val","dev_assinged_by","dev_assigned_date","trouble_ticket_id"
35,"LAN Card USB","2025021026376","02-1702","need a USB to Ethernet LAN adapter",1,"02-2181","2025-02-10 15:20:24+06",2,"02-0186","2025-07-31 15:15:42+06",NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,26189
34,"Laptop Adapter","2025020926362","02-1222","NEED AN EMERGENCY DELL LAPTOP ADAPTER(OLD ADAPTER US DAMAGED)",1,"02-2181","2025-02-09 17:31:07+06",1,"02-0007","2025-02-10 11:23:56+06",NULL,NULL,NULL,1,"02-2181","2025-07-27 10:53:17+06",0,NULL,NULL,26175
33,"Mouse","2025020326291","02-2635","USB Mouse",1,"02-2181","2025-02-09 11:04:13+06",1,"02-0007","2025-02-10 11:23:50+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:52:13+06",0,NULL,NULL,26104
32,"Mouse","2025020526328","02-2614","USB Mouse",1,"02-2181","2025-02-05 14:36:44+06",1,"02-0007","2025-02-10 11:23:43+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:51:55+06",0,NULL,NULL,26141
31,"LAN Card USB","2025012026168","02-1941","need a WIFI Card for desktop",1,"02-2181","2025-02-05 11:55:21+06",1,"02-0007","2025-02-10 11:23:39+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:42:51+06",0,NULL,NULL,25981
30,"Mouse","2025012126181","02-1160","need a USB mouse",1,"02-2181","2025-02-05 11:48:25+06",1,"02-0007","2025-02-10 11:23:31+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:42:35+06",0,NULL,NULL,25994
29,"Laptop Battery","2025012326196","02-1269","Need a NEW laptop battery.",1,"02-2181","2025-02-05 11:47:49+06",1,"02-0007","2025-02-10 11:23:26+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:42:16+06",0,NULL,NULL,26009
28,"Ethernet Adapter","2025012326197","02-1160","USB ethernet adapter",1,"02-2181","2025-02-05 11:43:54+06",1,"02-0007","2025-02-10 11:23:23+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:42:00+06",0,NULL,NULL,26010
27,"UPS","2025020326279","02-0463","need to 2PCS UPS Battery.",1,"02-2181","2025-02-05 10:34:02+06",1,"02-0007","2025-02-10 11:23:15+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:40:33+06",0,NULL,NULL,26092
26,"Ethernet Adapter","2025020226274","02-2147","USB to LAN adapter",1,"02-2181","2025-02-05 10:33:22+06",1,"02-0007","2025-02-10 11:23:08+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:39:58+06",0,NULL,NULL,26087
25,"Mouse","2025020426295","02-0106","USB",1,"02-2181","2025-02-04 09:48:28+06",1,"02-0007","2025-02-10 11:23:00+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:39:43+06",0,NULL,NULL,26108
24,"Mouse","2025020426294","02-2129","USB",1,"02-2181","2025-02-04 09:47:54+06",1,"02-0007","2025-02-10 11:22:57+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:39:11+06",0,NULL,NULL,26107
23,"Mouse","2025012726219","02-2229","USB",1,"02-2181","2025-02-03 11:41:52+06",1,"02-0007","2025-02-10 11:22:53+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:35:15+06",1,"02-2181","2025-07-21 11:38:14+06",26032
22,"Mouse","2025012726220","02-0218","USB MOUSE",1,"02-2181","2025-02-03 11:41:20+06",1,"02-0007","2025-02-10 11:22:49+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:21:52+06",1,"02-2181","2025-07-21 11:29:31+06",26033
21,"Mouse","2025011326116","02-1161","USB",1,"02-2181","2025-02-02 16:26:36+06",1,"02-0007","2025-02-10 11:22:44+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:09:18+06",0,NULL,NULL,25929
20,"Mouse","2025011126083","02-2616","USB",1,"02-2181","2025-02-02 16:26:09+06",1,"02-0007","2025-02-10 11:22:40+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:08:22+06",0,NULL,NULL,25896
19,"Mouse","2025010726046","02-2093","USB",1,"02-2181","2025-02-02 16:25:13+06",1,"02-0007","2025-02-10 11:22:37+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:07:22+06",0,NULL,NULL,25859
18,"Mouse","2025013026262","02-0622","need a wireless Mouse.
",1,"02-2181","2025-01-30 16:31:14+06",1,"02-0007","2025-01-30 16:39:39+06",NULL,NULL,NULL,1,"02-2181","2025-06-18 09:07:41+06",0,NULL,NULL,26075
17,"Laptop Battery","2025012126184","02-1775","As per our ITM data there is no warranty remain for battery warranty. User facing battery outage problem. Battery backup investigation report has been stated below.
Dear Shakil bhai / Alvi bhai please take necessary steps from your end. 

Installed bat",1,"02-2297","2025-01-28 12:39:44+06",1,"02-0007","2025-01-30 16:39:47+06",NULL,NULL,"60X0HJ3",1,"02-2181","2025-06-18 09:07:22+06",0,NULL,NULL,25997
16,"Laptop Adapter","2025012726218","02-2032","OLD ADAPTER DAMAGED.
",1,"02-2181","2025-01-28 09:09:38+06",1,"02-0007","2025-01-30 16:39:52+06",NULL,NULL,NULL,1,"02-2248","2025-03-03 10:13:38+06",0,NULL,NULL,26031
15,"Mouse","2025012226187","02-0006","wired mouse",1,"02-2181","2025-01-22 10:36:47+06",1,"02-0007","2025-01-22 10:41:24+06",NULL,NULL,NULL,1,"02-2014","2025-02-27 14:43:57+06",0,NULL,NULL,26000
14,"Mouse","2025011226090","02-2111","wired mouse",1,"02-2181","2025-01-22 10:31:53+06",1,"02-0007","2025-01-22 10:41:28+06",NULL,NULL,NULL,1,"02-2014","2025-02-27 14:43:42+06",0,NULL,NULL,25903
13,"Toner Cartridge","2025011426119","02-2503","This printer is in Rangpur, CO, so I told him you could purchase a Chinese from Rangpur. We will process the bill in petty cash.",1,"02-2014","2025-01-16 11:58:22+06",1,"02-0007","2025-01-22 10:41:32+06",NULL,NULL,NULL,1,"02-2014","2025-02-27 14:43:17+06",0,NULL,NULL,25932
12,"Mouse","2025011626141","02-0470","He need a mouse to replace",1,"02-0007","2025-01-16 09:02:21+06",1,"02-0007","2025-01-16 09:05:51+06",NULL,NULL,NULL,1,"02-2014","2025-02-27 14:42:54+06",0,NULL,NULL,25954
11,"Mouse","2025011426130","02-0139","The Old Mouse is faulty.",1,"02-2014","2025-01-15 15:25:50+06",1,"02-0007","2025-01-16 09:05:33+06",NULL,NULL,NULL,1,"02-2014","2025-02-27 14:42:27+06",0,NULL,NULL,25943
10,"Laptop Adapter","2025011326109","02-1425","The laptop adapter is damaged. please wait for a new adapter purchase.",1,"02-2181","2025-01-13 12:00:29+06",1,"02-0007","2025-01-16 09:05:36+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:06:47+06",0,NULL,NULL,25922
9,"UPS Battery","2025010926071","02-2297","Need a UPS/UPS Battery at Dhanmondi 4A for CCTV powerbackup.
",1,"02-2297","2025-01-09 15:43:48+06",1,"02-0007","2025-01-09 15:52:01+06",NULL,NULL,NULL,1,"02-2014","2025-02-27 14:41:32+06",0,NULL,NULL,25884
8,"Mouse","2025010626023","02-0300","The spare mouse is not available at this moment.
",1,"02-2181","2025-01-06 14:51:28+06",1,"02-0007","2025-01-09 15:35:13+06",NULL,NULL,NULL,1,"02-2014","2025-02-27 14:40:40+06",0,NULL,NULL,25836
7,"Mouse","2024123025954","02-1797","The spare mouse is not available.

",1,"02-2181","2025-01-06 14:46:50+06",1,"02-0007","2025-01-09 15:35:49+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 10:55:21+06",1,"02-2181","2025-07-21 10:59:57+06",25767
6,"UPS Battery","2025010626028","02-2297","Need a UPS battery at Dhanmondi 4A CCTV powerbackup. Old one got faulty.",1,"02-2297","2025-01-06 11:56:59+06",2,"02-0007","2025-01-09 15:37:37+06",NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,25841
5,"RAM-Laptop","2024070423789","02-0871","RAM usage high and hanged several times, required additional ram for using multiple software. He can not do  multiple tasks because of high usage of Ram with his existing RAM .

So a 3200 Bus a 8 GB external RAM is need for his Laptop.",1,"02-2297","2024-12-11 11:57:48+06",1,"02-0186","2024-12-12 10:39:48+06","02-2297",NULL,"K2202N0108534",1,"02-2181","2025-07-27 10:46:54+06",1,"02-2181","2025-07-27 10:51:49+06",23606
4,"RAM-Laptop","2024111225510","02-0411","3200 Bus, He work with a heavy software(ONS)., & the software need high configuration RAM.  A 8 GB external RAM is need for his Laptop",1,"02-2248","2024-12-11 11:48:58+06",1,"02-0186","2024-12-12 10:44:57+06",NULL,NULL,"5CD4024TZ5",1,"02-2181","2025-07-10 08:54:56+06",0,NULL,NULL,25326
3,"RAM-Laptop","2024120125745","02-2014","Need to solve this problem, test",1,"02-2014","2024-12-01 17:34:34+06",2,"02-0186","2025-07-29 14:22:25+06",NULL,NULL,"SGH751R6NJ",0,NULL,NULL,0,NULL,NULL,25561
2,"HDD Laptop","2024112825730","02-2014","test",1,"02-2014","2024-11-28 14:36:45+06",1,"02-2014","2024-11-28 14:36:53+06",NULL,NULL,"SGH751R6NJ",2,"02-2014","2025-02-27 14:39:05+06",0,NULL,NULL,25546
1,"DSLR Camera","2024112825726","02-1998","solve problem- test",1,"02-2014","2024-11-28 12:52:05+06",2,"02-0186","2024-11-28 12:54:38+06","02-2014",NULL,NULL,0,NULL,NULL,0,NULL,NULL,25542
